steamid,grau,centralidade_grau,coef_cluster,total_jogos,set_jogos
76561198038073305,37,0.7551020408163265,0.509009009009009,116,"{629760, 223750, 231430, 10, 230410, 238090, 252950, 34330, 30, 578080, 550, 379430, 40, 391720, 2465830, 300080, 552500, 48700, 60, 729660, 242760, 80, 48720, 204880, 330840, 960090, 4700, 100, 227940, 1083500, 338540, 812140, 616560, 260210, 508530, 1422450, 218230, 394360, 35450, 105600, 368780, 319630, 72850, 291480, 4760, 905370, 43160, 2296990, 4770, 204450, 1938090, 242860, 42160, 58550, 344760, 660160, 1712840, 265930, 470220, 945360, 885970, 202970, 730, 220, 291550, 34030, 202990, 550650, 598780, 65790, 10500, 304390, 311560, 9480, 346900, 886040, 304930, 47410, 236850, 863550, 773951, 320, 408900, 208730, 544610, 236390, 489830, 360, 10090, 1482620, 107410, 4000, 1184160, 712100, 214950, 347560, 311210, 700330, 221100, 212910, 261550, 399790, 884660, 440, 1782210, 1208260, 305620, 534500, 654310, 325610, 360430, 835570, 1172470, 219640, 203770, 218620}"
76561198060748768,35,0.7142857142857142,0.5277310924369748,154,"{115200, 1272320, 224260, 582660, 223750, 231430, 230410, 40970, 390670, 252950, 526870, 464920, 34330, 109600, 255520, 250400, 578080, 384550, 215080, 391720, 297000, 290870, 570, 48700, 2321470, 17480, 397900, 779340, 35420, 4700, 43110, 333420, 323190, 394360, 35450, 700030, 359550, 466560, 386180, 569480, 1363080, 359050, 379530, 594570, 72850, 418460, 222880, 1174180, 387240, 233130, 614570, 242860, 297130, 1938090, 251570, 384180, 42680, 209080, 403640, 292030, 324800, 42690, 212680, 1062090, 945360, 548050, 268500, 24790, 730, 2183900, 255710, 291550, 1250, 244450, 271590, 485610, 1517290, 34030, 368370, 113400, 248570, 550650, 65790, 7940, 225540, 304390, 530700, 346900, 438040, 440090, 3240220, 493340, 290080, 304930, 300, 205100, 289070, 760620, 16700, 200510, 281920, 466240, 270150, 239430, 447820, 926540, 438100, 976730, 465760, 380770, 544610, 236390, 489830, 289130, 368500, 623990, 1358710, 553850, 546700, 107410, 582550, 203160, 289690, 1323420, 265630, 4000, 214950, 321960, 357290, 700330, 6060, 1091500, 200110, 261550, 476600, 440, 232890, 420290, 1208260, 476620, 73170, 203730, 306130, 202200, 736220, 654310, 105450, 325610, 589290, 1466860, 1172470, 219640, 203770, 218620}"
76561198136730824,28,0.5714285714285714,0.5396825396825397,0,set()
76561198084204935,27,0.5510204081632653,0.5925925925925926,0,set()
76561198017921564,18,0.36734693877551017,0.6013071895424836,0,set()
76561198012085873,20,0.4081632653061224,0.5578947368421052,0,set()
76561198109866379,18,0.36734693877551017,0.5424836601307189,0,set()
76561198016402305,35,0.7142857142857142,0.46050420168067224,207,"{40960, 64000, 115200, 629760, 224260, 231430, 40970, 115210, 460810, 311310, 582160, 40980, 115220, 252950, 20500, 508440, 34330, 15390, 552990, 32800, 578080, 550, 205350, 41000, 17450, 434730, 374830, 620590, 218680, 48700, 99900, 1013310, 16450, 200260, 2630, 9800, 204360, 242760, 252490, 667720, 48720, 314450, 34900, 22100, 564310, 919640, 4700, 35420, 21090, 227940, 247910, 34410, 205930, 21100, 1083500, 33900, 244850, 505460, 21110, 218230, 394360, 35450, 333950, 359550, 105600, 21120, 274560, 35460, 250500, 313480, 431240, 33930, 359050, 569480, 594570, 690830, 72850, 1029780, 35480, 4760, 275610, 232090, 218620, 222880, 45730, 4770, 206500, 65700, 8870, 393380, 242860, 91310, 1200, 78000, 251570, 219830, 209080, 65720, 433850, 344760, 497850, 256190, 292030, 47810, 295110, 1230, 234190, 945360, 885970, 32470, 329430, 211160, 730, 287450, 686810, 1250, 244450, 271590, 223470, 34030, 4850, 113400, 233720, 65790, 1280, 10500, 225540, 4870, 6920, 241930, 323850, 4880, 397080, 4890, 440090, 227100, 111900, 3240220, 774941, 313120, 238370, 34600, 341800, 300, 739630, 236850, 16700, 362300, 37700, 204100, 35140, 270150, 364360, 238430, 2400, 236390, 489830, 10090, 1128810, 49520, 400240, 289650, 2420, 347510, 623990, 690040, 327030, 2430, 24960, 206210, 242050, 203140, 241540, 107410, 439700, 63380, 51100, 265630, 4000, 214950, 25000, 301480, 337320, 490920, 6060, 221100, 261550, 302510, 55230, 420290, 322500, 264140, 707030, 736220, 217060, 306660, 8170, 105450, 218090, 233450, 325610, 589290, 500, 40950, 219640, 203770, 98300}"
76561198104011790,26,0.5306122448979591,0.5661538461538461,229,"{361990, 231430, 374280, 15370, 12810, 366090, 412170, 390670, 475150, 321040, 521230, 1105420, 1506830, 212500, 252950, 34330, 228380, 552990, 270880, 578080, 761890, 282660, 2051620, 550, 2465830, 297000, 892970, 225840, 369200, 2437170, 736820, 552500, 108600, 1491000, 570, 48700, 2641470, 2709570, 1313860, 767560, 552520, 397900, 779340, 755790, 220240, 4700, 35420, 383580, 227940, 333930, 1083500, 333420, 310380, 1129580, 1571440, 1422450, 671860, 218230, 2087030, 394360, 3070070, 285310, 298110, 1509510, 1363080, 594570, 292500, 291480, 4760, 905370, 17570, 4770, 40100, 2943650, 1158310, 1938090, 9900, 2507950, 1623730, 251060, 2767030, 380600, 11450, 433850, 444090, 292030, 530630, 581320, 1205960, 537800, 2429640, 470220, 383180, 13520, 945360, 885970, 813780, 324310, 202970, 730, 286940, 1085660, 255710, 291550, 1407200, 1250, 375010, 674020, 443110, 242920, 1517290, 613100, 202990, 34030, 677620, 334070, 403190, 933110, 248570, 550650, 491260, 555260, 65790, 850170, 298240, 1645820, 2281730, 10500, 338180, 427270, 209160, 262410, 241930, 253710, 209170, 21780, 835860, 389400, 719640, 1238810, 310560, 304930, 391460, 444200, 1404210, 2195250, 8500, 386360, 326460, 495420, 1811260, 466240, 723780, 408900, 234310, 438600, 364360, 926540, 1238860, 391000, 246620, 858460, 299360, 236390, 10090, 1599340, 1937780, 1358710, 915320, 1240440, 553850, 1449850, 596350, 445310, 24960, 990080, 1248130, 281990, 24460, 311700, 439700, 24470, 787860, 783770, 1860510, 4000, 24480, 287140, 712100, 214950, 601510, 905640, 1343400, 311210, 415660, 212910, 261550, 17330, 884660, 1142710, 939960, 440, 17340, 19900, 371660, 435150, 2951630, 301520, 562640, 306130, 1237970, 272860, 1824220, 1206240, 227300, 498660, 534500, 105450, 407530, 325610, 589290, 1466860, 835570, 1022450, 500, 3582450, 1172470, 203770, 346110}"
76561198034581561,27,0.5510204081632653,0.5527065527065527,0,set()
76561198120430703,18,0.36734693877551017,0.4444444444444444,0,set()
76561198017633080,6,0.12244897959183673,0.8,285,"{355840, 295930, 582660, 231430, 230410, 296970, 242700, 219150, 1222670, 200210, 212500, 250900, 252950, 37400, 226840, 34330, 248860, 253980, 292380, 317470, 109600, 1253920, 761890, 220200, 1115690, 37420, 211500, 377900, 113200, 254000, 300080, 374320, 504370, 489520, 108600, 328760, 570, 48700, 99900, 261180, 243780, 254020, 204360, 252490, 397900, 779340, 236110, 435790, 48720, 670290, 44630, 254040, 978520, 960090, 107100, 4700, 219740, 11360, 1258080, 227940, 43110, 293480, 963690, 620, 1083500, 254060, 305260, 263280, 310380, 244850, 1129580, 239220, 218230, 33910, 394360, 301690, 362620, 11390, 700030, 92800, 105600, 359550, 781440, 301700, 1966720, 569480, 215690, 33930, 307340, 366220, 588430, 72850, 927890, 258200, 291480, 283290, 365720, 905370, 312990, 878750, 65700, 1158310, 1282730, 1336490, 345260, 91310, 2507950, 24240, 252410, 384180, 1149620, 42680, 209080, 65720, 380600, 300220, 444090, 292030, 42690, 252610, 221380, 530630, 212680, 443080, 42700, 267980, 945360, 1004240, 294100, 268500, 42710, 273110, 247000, 326360, 202970, 730, 393430, 329430, 255710, 291550, 444640, 8930, 259300, 271590, 207080, 242920, 283370, 202990, 34030, 375030, 113400, 494840, 207610, 299260, 39680, 284930, 10500, 214790, 9480, 457490, 346900, 761620, 284950, 322330, 3240220, 303390, 290080, 233250, 304930, 509220, 368420, 283430, 331560, 341800, 251690, 444200, 289070, 365360, 47410, 236850, 8500, 1063730, 55100, 44350, 200510, 72000, 232770, 224580, 226120, 22350, 354640, 210770, 438100, 7510, 286040, 239450, 823130, 2694490, 201570, 236390, 202090, 422250, 1599340, 55150, 70000, 238960, 274290, 702320, 227700, 734580, 623990, 672630, 926580, 315260, 113020, 307070, 596350, 48000, 241540, 1930, 65930, 365450, 1281930, 400, 287120, 107410, 63380, 334230, 8600, 1058200, 859580, 203160, 289690, 327070, 4000, 395170, 214950, 221100, 212910, 261550, 304050, 528820, 1245620, 102840, 440, 220090, 406970, 204220, 278460, 55230, 277950, 8640, 241600, 420290, 529340, 10180, 375230, 427460, 1097150, 253900, 778700, 10190, 1124300, 301520, 8660, 57300, 307670, 544730, 1086940, 413150, 253920, 227300, 500710, 477160, 233450, 632810, 225260, 8690, 835570, 223220, 271860, 219640, 203770, 218620, 302590}"
76561198043642107,21,0.42857142857142855,0.6,253,"{629760, 1272320, 560130, 582660, 231430, 300040, 10, 230410, 413710, 475150, 582160, 1222670, 20, 226840, 34330, 30, 578080, 761890, 550, 379430, 40, 892970, 374320, 489520, 50, 504370, 391220, 552500, 346110, 570, 60, 48700, 48190, 70, 33350, 204360, 252490, 779340, 80, 48720, 220240, 56400, 34900, 22100, 492630, 266840, 20570, 2322010, 4700, 35420, 9310, 32350, 1911390, 100, 227940, 599140, 368230, 43110, 620, 1083500, 333420, 812140, 301680, 616560, 32370, 1422450, 218230, 33910, 394360, 35450, 32380, 321150, 359550, 105600, 130, 460930, 301700, 32390, 283270, 1363080, 33930, 201870, 32400, 72850, 293010, 920210, 291480, 1151640, 232090, 905370, 418460, 1593500, 287390, 204450, 65700, 32420, 393380, 1174180, 1158310, 1938090, 32430, 2239150, 1623730, 209080, 65720, 403640, 1030840, 292030, 208580, 221380, 319180, 110800, 945360, 294100, 32470, 2623190, 730, 686810, 220, 1085660, 255710, 2183900, 1250, 8930, 271590, 9450, 34030, 240, 238320, 32500, 933110, 502520, 598780, 65790, 10500, 15620, 304390, 9480, 270090, 351510, 280, 1238810, 3240220, 774941, 236830, 1455900, 310560, 1771300, 300, 205100, 289070, 728880, 236850, 22330, 2054970, 320, 312640, 466240, 291650, 12100, 224580, 377160, 750920, 12110, 312660, 12120, 224600, 823130, 834910, 257890, 782330, 236390, 489830, 360, 228200, 1599340, 55150, 1772910, 6000, 623990, 1358710, 343930, 1173370, 238460, 527230, 990080, 242050, 6020, 281990, 424840, 275850, 6030, 400, 107410, 63380, 234390, 334230, 203160, 1172380, 4000, 367520, 20900, 214950, 700330, 6060, 1091500, 261550, 227760, 12210, 239030, 436150, 20920, 440, 232890, 859580, 529340, 420290, 1782210, 10180, 427460, 12230, 10190, 4560, 42960, 12240, 286160, 301520, 306130, 4570, 12250, 21980, 1086940, 33250, 286690, 4580, 227300, 42980, 654310, 233450, 325610, 105450, 589290, 17390, 360430, 1466860, 407530, 835570, 500, 1180660, 219640, 203770, 218620, 8190}"
76561198065529747,26,0.5306122448979591,0.6092307692307692,316,"{231430, 40970, 2334730, 475150, 2484250, 552990, 40990, 32800, 761890, 544810, 892970, 489520, 2437170, 20540, 1146950, 587860, 2719830, 417890, 43110, 333930, 1083500, 409710, 616560, 1284210, 206980, 268420, 764050, 776340, 43160, 489630, 2767030, 1310910, 393410, 221380, 1085660, 1407200, 1263850, 1263860, 254200, 241930, 1173770, 887060, 381210, 3240220, 880940, 289070, 8500, 1284410, 16700, 1454400, 2357570, 872790, 57690, 858460, 1042780, 489830, 1128810, 1476970, 49520, 438640, 872820, 596350, 1433990, 1184140, 1368460, 400, 1046930, 203160, 20900, 504230, 1196470, 440, 745920, 420290, 1782210, 4560, 2707930, 223710, 1276390, 285160, 219640, 457210, 737800, 582160, 520720, 270880, 550, 211500, 250420, 570, 232010, 397900, 236110, 4700, 107100, 227940, 316010, 414340, 1024650, 1198730, 1292940, 920210, 1088150, 4760, 4770, 510630, 805550, 1286830, 2273980, 258760, 2429640, 813780, 730, 209630, 8930, 1254120, 375530, 385770, 598780, 39680, 2669320, 11020, 738060, 1147660, 1147690, 293680, 1063730, 2870, 1811260, 602960, 2018130, 246620, 547680, 582500, 236390, 228200, 23400, 588650, 35700, 250740, 990080, 205710, 107410, 359320, 289690, 1172380, 304030, 2225070, 228280, 529340, 259020, 435150, 752590, 306130, 1997780, 3097560, 627690, 302060, 1172470, 203770, 302080, 629760, 1551360, 582660, 230410, 250900, 252950, 109600, 918570, 922670, 1313860, 220260, 599140, 365670, 1131620, 310380, 244850, 1422450, 218230, 996470, 394360, 9340, 359550, 386180, 1172620, 72850, 2296990, 1158310, 242860, 611500, 42160, 292030, 945360, 885970, 249050, 271590, 283880, 287980, 34030, 1232130, 969990, 9480, 1139980, 714010, 310560, 236850, 1404210, 404790, 386360, 1334590, 2440510, 408900, 2016590, 599390, 2004320, 238960, 363890, 263540, 623990, 1240440, 281990, 275850, 787860, 327070, 562590, 288160, 601510, 261550, 232890, 859580, 1097150, 363970, 2667970, 286160, 21970, 1824220, 589290, 214510, 7670, 218620, 427520, 204300, 1506830, 212500, 226840, 34330, 632360, 552500, 239160, 48700, 325180, 1013320, 640590, 48720, 960090, 431730, 239220, 505460, 423580, 9900, 986800, 317110, 444090, 1887930, 208580, 466630, 407250, 32470, 2141910, 255710, 442080, 1517290, 32510, 212740, 1869590, 438040, 493340, 610080, 304930, 1537830, 567090, 2195250, 640820, 2068280, 24400, 747350, 278360, 513890, 544610, 2428770, 1599340, 1173370, 1449850, 223100, 1056640, 667530, 305050, 214950, 1343400, 700330, 6060, 262060, 1091500, 1259440, 884660, 364470, 436150, 606150, 1277920, 227300, 534500, 407530, 763890, 40950, 323580, 346110}"
76561198089447076,26,0.5306122448979591,0.6430769230769231,486,"{231430, 397340, 1222690, 2465830, 2670630, 215080, 544810, 892970, 620590, 2488370, 34870, 462930, 919640, 1083500, 305260, 616560, 671860, 3070070, 1702010, 333950, 1360000, 460930, 569480, 575640, 905370, 1593500, 1659040, 393380, 383150, 256190, 24780, 239820, 383180, 936140, 110800, 1255630, 202970, 286940, 1085660, 1282270, 6370, 674020, 1263850, 202990, 418030, 1263860, 760060, 10500, 225540, 24840, 577800, 815370, 1394960, 1569040, 1259800, 1485080, 381210, 3240220, 352550, 300, 102700, 553260, 739630, 47410, 3164500, 731490, 2062690, 1128810, 2169200, 412020, 1026420, 602490, 582010, 24960, 242050, 1644960, 895400, 905640, 16810, 227760, 350640, 1245620, 2967990, 440, 399810, 420290, 1782210, 33230, 4560, 301520, 438740, 305620, 489940, 512470, 272860, 307690, 324080, 244210, 737800, 238090, 612880, 584210, 289300, 1149460, 526870, 203290, 270880, 578080, 550, 379430, 391720, 342570, 346110, 570, 2620, 447040, 418370, 440900, 2630, 301640, 1069640, 252490, 2640, 606800, 473690, 35420, 4700, 8800, 1258080, 2138720, 227940, 690790, 1919590, 1225330, 633460, 35450, 518790, 594570, 588430, 690830, 428690, 291480, 232090, 418460, 287390, 1938090, 1030830, 1149620, 6840, 1030840, 858810, 541380, 592580, 674500, 858820, 258760, 1274570, 774861, 273110, 324310, 730, 686810, 385760, 8930, 244450, 613100, 238320, 4850, 15100, 1227530, 973580, 629520, 344850, 346900, 322330, 774941, 1155870, 1178400, 946990, 1080110, 1100600, 1248060, 496460, 1100620, 1553230, 13140, 228180, 914260, 109400, 928600, 367450, 246620, 236390, 228200, 457580, 664430, 656240, 508790, 553850, 990080, 678800, 107410, 1106840, 252830, 322500, 824270, 1031120, 306130, 50130, 312280, 736220, 1016800, 682990, 1172470, 572410, 203770, 998400, 224260, 582660, 1016840, 316430, 1203220, 252950, 519190, 228380, 220200, 1209410, 394310, 242760, 779340, 201810, 1129580, 1422450, 218230, 33910, 394360, 996470, 50300, 359550, 105600, 494720, 312450, 507010, 234630, 951430, 431240, 1363080, 1012880, 72850, 236690, 648350, 1158310, 242860, 2507950, 1200, 492720, 384180, 1451190, 408760, 914620, 292030, 91330, 1230, 945360, 285920, 1250, 271590, 1223910, 242920, 247020, 34030, 1307890, 494840, 2063610, 1280, 574720, 584980, 427290, 714010, 236830, 310560, 25890, 814380, 236850, 683320, 863550, 681280, 466240, 236870, 44360, 750920, 447820, 785740, 312660, 382310, 931180, 238960, 623990, 1240440, 535930, 1101180, 281990, 335240, 1144200, 275850, 376210, 427410, 787860, 1338770, 443810, 1203620, 1287590, 482730, 2315690, 261550, 239030, 476600, 19900, 859580, 482750, 1097150, 1146300, 335300, 368070, 24010, 476620, 232910, 286160, 337360, 73170, 282070, 355800, 624090, 413150, 415200, 335330, 306660, 589290, 1119730, 1123830, 624120, 757240, 218620, 284160, 355840, 427520, 366090, 34330, 290340, 239140, 1195560, 226860, 605740, 1220140, 552500, 906810, 48700, 552520, 736850, 278100, 1449560, 648800, 333420, 22130, 208500, 505460, 323190, 466560, 34440, 208520, 34450, 1029780, 7830, 841370, 34460, 773790, 222880, 204450, 521890, 728740, 310950, 513710, 24240, 251570, 1623730, 42680, 380600, 1076920, 3241660, 2567870, 42690, 2479810, 212680, 581320, 603850, 42700, 1015500, 454350, 671440, 42710, 775900, 245470, 255710, 442080, 984800, 368360, 550650, 646910, 7940, 775940, 503560, 274190, 704270, 268050, 440090, 1453850, 493340, 1066780, 2252570, 313120, 304930, 1771300, 34600, 3900, 495420, 3059520, 296770, 1089350, 364360, 1040200, 331600, 438100, 1124180, 431960, 356190, 10090, 245620, 690040, 223100, 350080, 391040, 638850, 667530, 63380, 3990, 1034140, 1259420, 1904540, 4000, 683940, 214950, 311210, 700330, 221100, 518060, 212910, 1091500, 493490, 884660, 1142710, 933820, 55230, 10180, 1208260, 499660, 10190, 42960, 311260, 1458140, 1206240, 286690, 1454050, 227300, 534500, 761830, 1812450, 233450, 407530, 325610, 378860, 360430, 1134570, 835570, 409590, 559100, 448510}"
76561198052782861,13,0.26530612244897955,0.5769230769230769,111,"{40960, 629760, 559620, 231430, 40970, 40980, 252950, 34330, 2051620, 379430, 892970, 2000950, 2620, 48700, 2630, 252490, 397900, 2640, 48720, 22100, 277590, 4700, 424030, 39520, 227940, 1083500, 1129580, 218230, 394360, 35450, 359550, 700030, 466560, 569480, 1363080, 201870, 72850, 1088150, 4760, 4770, 1174180, 242860, 32430, 384180, 1182900, 292030, 885970, 202970, 686810, 39650, 271590, 39660, 202990, 680690, 32500, 39680, 311560, 241930, 3240220, 304930, 1771300, 47400, 236850, 16700, 926540, 22350, 228180, 312660, 208730, 236390, 489830, 10090, 227180, 70000, 49520, 368500, 623990, 327030, 1358710, 990080, 242050, 907650, 203140, 1172380, 265630, 4000, 712100, 214950, 212910, 261550, 302510, 476600, 232890, 420290, 476620, 752590, 1237970, 736220, 46560, 33250, 285160, 325610, 589290, 1466860, 9200, 1774580, 40950, 1172470, 219640, 203770, 218620}"
